object_id,target,pred_nn
Dornhoth_anwar_melethron,0.0,0.04739657137542963
Dornhoth_archam_grond,0.0,0.005102172843180597
Dornhoth_certh_iaun,0.0,0.006047646311344579
Dornhoth_drafn_celon,0.0,0.00467301627213601
Dornhoth_fervain_onodrim,0.0,0.13710064385668375
Dornhoth_galadh_ylf,0.0,0.0027001201815437526
Dornhoth_gwend_nagol,0.0,0.06422760849818587
Dornhoth_hervenn_tathar,0.0,0.007769729272695258
Dornhoth_inias_gond,0.0,0.008136034783092327
Dornhoth_lavan_ank,0.0,0.0016763394978625001
Dornhoth_pennas_emel,0.0,0.0030909566557966173
Dornhoth_rist_lalaith,0.0,0.004363747691968456
Dornhoth_salab_corch,0.0,0.013152940664440393
Dornhoth_thurin_gwaloth,0.0,0.0013410762894636719
Druadan_galadhrim_narthan,0.0,0.01594629674218595
Druadan_galas_Eluwaith,0.0,0.0340643310919404
Druadan_galas_ram,0.0,0.7374604195356369
Druadan_lorn_morgul,0.0,0.0027021571004297584
Druadan_rodwen_bragol,1.0,0.11206743866205215
Druadan_romru_araf,0.0,0.007606067435517616
Druadan_tachol_aranarth,0.0,0.3375377976335585
Druadan_tavor_fae,0.0,0.11530943214893341
Elrim_cair_amon,0.0,0.007380287628620863
Elrim_firiel_soga,0.0,0.027164803352206945
Elrim_hal_amarth,0.0,0.00012869565524731286
Elrim_harad_menel,1.0,0.8837043642997742
Elrim_heledir_fervain,0.0,0.008009022567421198
Elrim_melethril_thul,0.0,0.0006292341502742715
Elrim_nana_dagnir,0.0,0.03131859423592687
Elrim_sirion_hwiniol,0.0,0.012723272666335106
Eluwaith_Druadan_cuin,0.0,0.008171667053829879
Eluwaith_amarth_iar,0.0,0.013690349645912647
Eluwaith_cyron_hwiniol,0.0,0.007506924157496542
Eluwaith_faradrim_haudh,0.0,0.007108859717845917
Eluwaith_lain_curunir,0.0,0.007611769717186689
Eluwaith_nestad_in,0.0,0.0011576465221878607
Eluwaith_nost_magol,0.0,0.12210430460982025
Eluwaith_rom_andrann,0.0,0.0002928503181465203
Eluwaith_tathar_gwend,0.0,0.01090121507877484
Ennor_Tawarwaith_paich,0.0,0.19564968440681696
Ennor_aduial_thavron,0.0,0.013235145655926317
Ennor_imloth_morgul,1.0,0.9871844351291656
Ennor_nimp_rovalug,0.0,0.0008321864625031594
Eru_alae_nath,0.0,2.4679016965123424e-05
Eru_gwathui_Mirion,0.0,0.17707854183390737
